run_id,group,damage_key,damage_name,ecs_label,ecs_val,disc_label,disc_scenario,delay_label,SCC_2025,SCC_2030,SCC_2050,SCC_2075,SCC_2100,MIU_2025,MIU_2030,MIU_2050,MIU_2100,T_2030,T_2050,T_2100,T_peak,welfare,PV_consumption,peak_MIU_year,peak_MIU_val,year_MIU99,damfrac_2030,damfrac_2050,damfrac_2100,elapsed_s,status,timestamp
24,A,kahn,Kahn et al. (2021),ecs_high,4.5,default,9,none,168.79252082418074,197.92508399332903,336.85764730977854,594.3189488069817,1002.2199674385139,0.1,0.24,0.7199999999993478,1.0,2.219319662176844,2.6802615525512636,2.7516245840272804,2.758302779129067,6478.192360406785,53303.278057345706,2125,1.1,2075,0.027089588696086075,0.03951091094546481,0.04164290818282817,2.8,ok,2026-07-28T20:53:48
25,B,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,disc_1pct,1,none,108.84647706046478,121.7759076446384,189.04676953782769,308.0049004917832,465.72874462055916,0.1,0.24,0.5175193941950742,0.9248529242074077,1.559015586342389,1.889128989733642,2.3639804234296338,2.364453179008922,27851.595939603383,233856.37231202002,2135,1.1,2110,0.00842664611785563,0.012373058514267062,0.019374994734657095,3.6,ok,2026-07-28T20:53:51
26,B,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,disc_3pct,3,none,36.489584226773054,41.84765804120267,72.47298641426421,132.82596429350653,224.08178268870492,0.09999999999999076,0.18968325235702932,0.303988692747684,0.641597837618069,1.5549850190419565,1.9815682633029514,2.892734711260768,3.167187941105434,1171.9654868726193,11024.918616713667,2155,1.1,2145,0.008383131145545515,0.01361356651564289,0.02901155821844403,3.2,ok,2026-07-28T20:53:54
27,B,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,disc_5pct,5,none,19.733805913460113,22.98830620071075,41.541339715456054,78.62202216575876,135.77365687748966,0.09999999999999996,0.13144734801085528,0.21741414090924213,0.4833078084871047,1.549710436914272,1.9969727110870308,3.0673803124362022,3.7863437624897767,-2350.3300361747033,4233.4379287915235,2180,1.1,2170,0.00832635565352031,0.013826049330600733,0.03262038580854725,4.1,ok,2026-07-28T20:53:59
28,B,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.0025,disc_1pct,1,none,88.01830395719607,98.79482603171105,155.4951328180973,257.7800475629208,397.6905808678874,0.1,0.24,0.4638067036496672,0.8521683370762431,1.5592483845774336,1.9176177072001996,2.526079595181148,2.5531640011316945,27898.190837577273,233925.03034659466,2145,1.1,2120,0.006491452251235589,0.009818277981483894,0.017037478583578777,3.8,ok,2026-07-28T20:54:02
29,B,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.0025,disc_3pct,3,none,28.325915081737264,32.546032277635994,56.71695254478576,104.6905000143917,178.2027216102499,0.09999999999999498,0.1628200194878299,0.2622339838255076,0.5616861431267058,1.5586520248972042,2.00784367687363,3.030136901926636,3.516618260176614,1188.2238941414817,11082.041503395569,2170,1.1,2155,0.006486487679692133,0.010763934736132984,0.024515218150594868,3.3,ok,2026-07-28T20:54:06
30,B,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.0025,disc_5pct,5,none,15.243007128551435,17.77970141649244,32.25698490295152,61.2395380577216,105.91367363276545,0.09843046972730948,0.11210731085187026,0.18603485647844883,0.4163940161498181,1.5524400719688267,2.0156312652202844,3.1692680570264193,4.230451014866247,-2343.304341401959,4252.438738165317,2190,1.1,2180,0.006434887372735718,0.010847594290880511,0.026818174246159003,4.6,ok,2026-07-28T20:54:10
31,B,hs_low,Howard-Sterner Low,ecs_central,3.0025,disc_1pct,1,none,88.01830395719607,98.79482603171105,155.4951328180973,257.7800475629208,397.6905808678874,0.1,0.24,0.4638067036496672,0.8521683370762431,1.5592483845774336,1.9176177072001996,2.526079595181148,2.5531640011316945,27898.190837577273,233925.03034659466,2145,1.1,2120,0.006491452251235589,0.009818277981483894,0.017037478583578777,3.7,ok,2026-07-28T20:54:14
32,B,hs_low,Howard-Sterner Low,ecs_central,3.0025,disc_3pct,3,none,28.325915081737264,32.546032277635994,56.71695254478576,104.6905000143917,178.2027216102499,0.09999999999999498,0.1628200194878299,0.2622339838255076,0.5616861431267058,1.5586520248972042,2.00784367687363,3.030136901926636,3.516618260176614,1188.2238941414817,11082.041503395569,2170,1.1,2155,0.006486487679692133,0.010763934736132984,0.024515218150594868,3.2,ok,2026-07-28T20:54:17
33,B,hs_low,Howard-Sterner Low,ecs_central,3.0025,disc_5pct,5,none,15.243007128551435,17.77970141649244,32.25698490295152,61.2395380577216,105.91367363276545,0.09843046972730948,0.11210731085187026,0.18603485647844883,0.4163940161498181,1.5524400719688267,2.0156312652202844,3.1692680570264193,4.230451014866247,-2343.304341401959,4252.438738165317,2190,1.1,2180,0.006434887372735718,0.010847594290880511,0.026818174246159003,4.8,ok,2026-07-28T20:54:22
34,B,hs_central,Howard-Sterner Central,ecs_central,3.0025,disc_1pct,1,none,152.41894616493968,169.6019269268496,257.28892663827725,408.6735706169882,607.904506021907,0.09999999999482595,0.23999999999665217,0.6165343261051214,1.0,1.55852111076876,1.846228220163211,2.0823723865538097,2.0884775144419585,27767.544109266517,233515.8865454847,2120,1.1,2095,0.012509288471466231,0.017554077000774142,0.022331814994851318,3.6,ok,2026-07-28T20:54:26
35,B,hs_central,Howard-Sterner Central,ecs_central,3.0025,disc_3pct,3,none,53.32148356485849,60.910073836906726,104.08224427568611,187.64060826217633,309.8557035343665,0.1,0.2381214921472901,0.3776763575295086,0.7724134234767712,1.548354723929627,1.9345656631878976,2.6532945889128565,2.7286174259357696,1140.5277797659446,10925.197385140003,2150,1.1,2130,0.012346622108243235,0.019274103171705994,0.03625585670410436,4.6,ok,2026-07-28T20:54:30
36,B,hs_central,Howard-Sterner Central,ecs_central,3.0025,disc_5pct,5,none,29.14543642927393,33.86197082583177,60.68027079800779,113.92728197725006,195.07962592415922,0.1,0.1670160383408469,0.27439210604755787,0.5996387034861382,1.5450650408152509,1.963096209326519,2.8833195312145494,3.218904392836108,-2364.7076337610974,4196.438871837826,2160,1.1,2150,0.012294213798799579,0.01984679564442156,0.04281468732327894,2.9,ok,2026-07-28T20:54:33
37,B,hs_high,Howard-Sterner High,ecs_central,3.0025,disc_1pct,1,none,282.08705419970016,310.42611494873444,453.50723057212855,697.4951943274973,1042.7497078844308,0.1,0.24,0.72,1.0,1.5569420753748966,1.818487810504306,1.8215942354789916,1.8410465980614446,27565.667959338378,232389.33756277987,2120,1.1,2070,0.024531574495855628,0.03346580691956178,0.03358024025435055,2.7,ok,2026-07-28T20:54:36
38,B,hs_high,Howard-Sterner High,ecs_central,3.0025,disc_3pct,3,none,101.2048724265939,114.51439075892911,188.22399685311458,324.03168539281114,510.2706144827419,0.09999999999769028,0.23999999999893376,0.5384444213130297,1.0,1.5473144611969,1.84784894562833,2.1607038669481113,2.164954243533938,1060.666601715212,10700.091008318557,2120,1.1,2100,0.024229122263310022,0.03455520274570048,0.04724664895052256,4.9,ok,2026-07-28T20:54:41
39,B,hs_high,Howard-Sterner High,ecs_central,3.0025,disc_5pct,5,none,56.44433282837179,65.102050175072,113.85614274835639,207.8671282000452,343.908650320259,0.09999999999982717,0.24,0.40298755194214053,0.8344853137285024,1.535393026361395,1.8862967087996876,2.4776801981326395,2.5001287002872234,-2404.5763656097542,4102.723691642792,2135,1.1,2120,0.023857209263439944,0.03600812656912076,0.06212565954189219,3.4,ok,2026-07-28T20:54:44
40,B,weitzman,Weitzman (2012),ecs_central,3.0025,disc_1pct,1,none,93.6263549739774,105.55218248332652,169.09942443291925,282.98773798962355,424.74977021109277,0.09999999999875675,0.23999999999945604,0.48926667137043695,0.8917838586265922,1.5592104275316645,1.9041049064990634,2.433767145342709,2.445170939969394,27903.652018354896,234178.9313502582,2135,1.1,2120,0.005874741947680784,0.008972517530645208,0.0159515553161097,3.8,ok,2026-07-28T20:54:48
41,B,weitzman,Weitzman (2012),ecs_central,3.0025,disc_3pct,3,none,32.87073533945156,38.58461620871802,74.5491627236083,156.6684654981152,282.5150633988551,0.09999999999998868,0.1800223325197023,0.3081899353437562,0.736068821289018,1.5563499761054085,1.984729425060419,2.7912326384101034,2.9079791086058604,1186.6522462832045,11091.74057635533,2155,1.1,2135,0.005852461154346789,0.009832054252865818,0.023256944022058135,4.4,ok,2026-07-28T20:54:52
42,B,weitzman,Weitzman (2012),ecs_central,3.0025,disc_5pct,5,none,16.46280561148944,19.78401666791445,42.004362006396,101.35651428643403,210.20097042320617,0.09999999999999996,0.11975674833103879,0.21855059903007606,0.6270742257110336,1.551268855032949,2.0020175905047903,2.942516113834177,3.1681270593062685,-2343.0094410733136,4250.8669029397,2165,1.1,2145,0.005813007917340296,0.010024178024310992,0.02734114868333415,2.9,ok,2026-07-28T20:54:55
43,B,dietz_stern,Dietz-Stern (2015),ecs_central,3.0025,disc_1pct,1,none,82.74501765244422,92.94071428834938,146.72739739850144,244.38928053171415,379.5507743215312,0.099999999999917,0.23999999999997843,0.44843975243104217,0.8299926344274461,1.559306447927513,1.9267690303416019,2.5743558559458624,2.6167646509192313,27910.11132887434,233916.74689845747,2135,1.1,2125,0.006060154235522308,0.009238160792834682,0.01643177128407669,3.5,ok,2026-07-28T20:54:59
44,B,dietz_stern,Dietz-Stern (2015),ecs_central,3.0025,disc_3pct,3,none,26.230010096035723,30.125549358121322,52.37826046134899,96.34214108812215,163.52480010118663,0.09999999999999687,0.15534217542956805,0.24994340031161638,0.5342864101016851,1.5596694828809896,2.0153630263575124,3.0735059472684503,3.657191604117594,1192.2847515446856,11096.59670879098,2175,1.1,2160,0.006062967820004483,0.010102840280009295,0.023339419296093178,3.2,ok,2026-07-28T20:55:02
45,B,dietz_stern,Dietz-Stern (2015),ecs_central,3.0025,disc_5pct,5,none,14.143213803053015,16.4846820471728,29.79054053298728,56.171003452123706,96.32460066763231,0.09395794916902044,0.10697519624997713,0.17713771620395954,0.39353318016046657,1.5537154511823554,2.021203261138435,3.201348887337655,4.422326022425561,-2341.6453693852354,4257.128797478607,2195,1.1,2185,0.006016904747199292,0.01016117937452865,0.025296139310114985,5.1,ok,2026-07-28T20:55:07
46,B,kahn,Kahn et al. (2021),ecs_central,3.0025,disc_1pct,1,none,161.26232918092163,179.26383567895482,270.7777927264817,428.182164369885,636.4245567369326,0.09999999999053599,0.2399999999937085,0.6350833246527056,1.0,1.5584180779928287,1.8398437331282316,2.04003742207494,2.04769571416558,27751.689976398764,233446.8550835703,2120,1.1,2090,0.013357667981981743,0.01861763729282175,0.022889639759063923,3.3,ok,2026-07-28T20:55:10
47,B,kahn,Kahn et al. (2021),ecs_central,3.0025,disc_3pct,3,none,56.77261417191314,64.80456969591087,110.41299483659037,198.31748497285096,326.01625351866716,0.09999999999995,0.24,0.3912828420604009,0.795150899004772,1.5480512036051144,1.9267445156692138,2.610352446312422,2.664690966447563,1134.3719738552636,10906.863788728388,2135,1.1,2125,0.013180543909407838,0.02041789435763766,0.03747666941683085,4.4,ok,2026-07-28T20:55:15
48,B,kahn,Kahn et al. (2021),ecs_central,3.0025,disc_5pct,5,none,31.09206169120036,36.103430854126906,64.58979661806737,121.05109519271316,206.9207699023267,0.1,0.17375429767625847,0.28507515881895035,0.6206988168099022,1.5441825679833876,1.9566958773733754,2.8489520597830778,3.137137325820348,-2367.6306266285137,4189.174544551519,2160,1.1,2150,0.013114748917950732,0.021057623160914796,0.044640903114182326,3.1,ok,2026-07-28T20:55:18
49,C,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,default,9,delay_0yr,51.31266316564275,60.9395708773385,113.17014871307417,219.59807266262814,385.8690440462328,0.1,0.2340468924642478,0.3876511656662103,0.8450306181342604,1.5460923646687055,1.9352326987724766,2.591178290938036,2.6073759241107,6658.293489200054,53904.05423937845,2140,1.1,2115,0.008287522347501176,0.01298435044964657,0.023278148511130824,3.3,ok,2026-07-28T20:55:21
50,C,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,default,9,delay_10yr,51.45036037335107,61.09875516539923,113.38395452417289,219.94493647321534,386.47100833346184,0.03,0.23468703979906352,0.38818564542213896,0.8462740302692208,1.5558741415406523,1.9430647893671715,2.5960266559620013,2.61157913091191,6657.731924965094,53900.020217277495,2135,1.1,2115,0.008392720641739624,0.013089661189277327,0.023365341699479028,3.2,ok,2026-07-28T20:55:24
51,C,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.0025,default,9,delay_20yr,52.29100480174667,62.19765277402437,115.02171987174394,222.56156180739188,391.050963132177,0.03,0.03,0.3918852841694373,0.8526356853353937,1.582401884699478,2.001995591895087,2.6308977559673266,2.6434785759734054,6655.2684066321635,53872.691328245164,2135,1.1,2115,0.008681353177536495,0.01389568867533684,0.023997266949161024,3.2,ok,2026-07-28T20:55:28
52,C,weitzman,Weitzman (2012),ecs_central,3.0025,default,9,delay_0yr,44.747078651683644,53.91175028977468,106.17780908086365,216.64896201414766,375.88220365636863,0.1,0.21776570557859215,0.37448643492852834,0.8417715400509711,1.5483486561256983,1.9473593381229934,2.6045744277196237,2.6282073062630973,6681.974655636763,54055.572031187345,2145,1.1,2120,0.005790405675273558,0.009426349910557796,0.01909166770304127,3.4,ok,2026-07-28T20:55:31
53,C,weitzman,Weitzman (2012),ecs_central,3.0025,default,9,delay_10yr,44.94556916572256,54.15578341618342,106.58165371074324,217.32994369606476,376.76161702734424,0.03,0.2183981309837931,0.37538900013651144,0.8430074731222602,1.5581344144747735,1.9550117935055618,2.608373190574331,2.631375710733815,6681.496383373611,54052.75730316923,2145,1.1,2120,0.00586635465032348,0.009508380074986222,0.01916818584872748,3.4,ok,2026-07-28T20:55:34
54,C,weitzman,Weitzman (2012),ecs_central,3.0025,default,9,delay_20yr,46.15637653934244,55.727487601121844,109.38664806780496,221.86621542359373,382.75404641955134,0.03,0.03,0.3816490933710759,0.8511668806299668,1.5825641965180814,2.008421690464912,2.6336309045043347,2.6523413523451067,6679.443590230821,54035.903460746355,2145,1.1,2120,0.0060585605976438694,0.010096076951139676,0.019685045563322734,3.3,ok,2026-07-28T20:55:38
55,C,hs_high,Howard-Sterner High,ecs_central,3.0025,default,9,delay_0yr,134.83573446806176,157.52474253444979,272.53986585361554,487.79026204577525,821.094615452775,0.09999999999533958,0.23999999999712307,0.6518246422830457,0.9999999999997317,1.5440524593347142,1.8063831867240443,1.90817277967807,1.9239200783401667,6512.125934172982,53426.789863012935,2180,1.1,2080,0.024127071731437105,0.03302176459886665,0.036848168373895845,2.9,ok,2026-07-28T20:55:41
56,C,hs_high,Howard-Sterner High,ecs_central,3.0025,default,9,delay_10yr,135.25598071751065,158.0213919278377,273.2495298180582,489.01085206985425,823.53354377331,0.029999999996588513,0.23999999999818317,0.6529907907981751,0.9999999999998481,1.553842994608592,1.8142948539538317,1.9135920324327964,1.9294719856420475,6510.520898664023,53419.02780884686,2180,1.1,2080,0.024434011885169273,0.03331165806888356,0.03705776480189364,3.0,ok,2026-07-28T20:55:44
57,C,hs_high,Howard-Sterner High,ecs_central,3.0025,default,9,delay_20yr,138.87972653934244,162.42602758199664,279.2868260614444,499.27292794408214,843.9693863940693,0.029999999989735165,0.02999999998985562,0.6631383779102228,0.9999999999997371,1.580630010992386,1.8856544808542304,1.960137059118916,1.9782795577614904,6500.384827752197,53357.43235568291,2195,1.1,2080,0.025283719264295883,0.035983611350196246,0.038882429380177295,2.9,ok,2026-07-28T20:55:47
