ramp_run_id,ramp_case,damage_key,damage_name,ecs_label,ecs_val,disc_label,disc_scenario,SCC_2030,SCC_2050,SCC_2100,MIU_2030,MIU_2050,MIU_2100,MIU_bound_2030,MIU_bound_2050,MIU_bound_2100,MIU_slack_2030,MIU_slack_2050,MIU_slack_2100,binding_2030,binding_2050,binding_2100,first_binding_year,T_2030,T_2050,T_2100,welfare,elapsed_s,status,timestamp
11,tighter_ramp_8pp,hs_low,Howard-Sterner Low,ecs_central,3.00252,default,9,48.39699787764808,91.0612420614331,323.41178318922204,0.20409119777991802,0.34090490687446756,0.7646575810199416,0.21000000000000002,0.53,1.0,0.005908802220081999,0.18909509312553247,0.23534241898005837,near-binding,interior,interior,2025,1.5459415514103636,1.9615692906501088,2.744561697117801,6681.058596391429,10.3,ok,2026-08-07T14:50:51
12,tighter_ramp_8pp,hs_central,Howard-Sterner Central,ecs_central,3.00252,default,9,86.56361839715412,157.16917565588574,504.93917404737596,0.21000000000000002,0.4700486903164536,0.9810610511239789,0.21000000000000002,0.53,1.0,0.0,0.05995130968354645,0.0189389488760211,binding,interior,interior,2025,1.54466447425273,1.8941873093616648,2.326351619247764,6616.195913620153,9.5,ok,2026-08-07T14:51:00
13,tighter_ramp_8pp,hs_high,Howard-Sterner High,ecs_central,3.00252,default,9,162.2584487605823,284.9986893305474,859.9512271012387,0.20999999999901786,0.5299999999997844,0.9999999999999571,0.21000000000000002,0.53,1.0,9.821587987346447e-13,2.156053113822054e-13,4.285460875053104e-14,binding,binding,binding,2025,1.5435973731124941,1.8755758366048376,2.004311207800355,6509.1524224513505,7.7,ok,2026-08-07T14:51:08
14,tighter_ramp_8pp,weitzman,Weitzman (2012),ecs_central,3.00252,default,9,53.8394847138759,106.04389138135328,375.5572837758664,0.21000000000000002,0.37421135406590283,0.8413951523791897,0.21000000000000002,0.53,1.0,0.0,0.1557886459340972,0.15860484762081029,binding,interior,interior,2025,1.5451357573364046,1.94500277970393,2.603388699317951,6682.10904975457,10.3,ok,2026-08-07T14:51:18
15,tighter_ramp_8pp,dietz_stern,Dietz-Stern (2015),ecs_central,3.00252,default,9,45.15279709268316,85.09934227425745,305.33731979303184,0.19582409852581376,0.32750800490040904,0.7397345631619682,0.21000000000000002,0.53,1.0,0.014175901474186264,0.20249199509959098,0.2602654368380318,interior,interior,interior,2025,1.547063203823988,1.969952865911521,2.7906480471932493,6686.737467255589,10.3,ok,2026-08-07T14:51:29
16,tighter_ramp_8pp,kahn,Kahn et al. (2021),ecs_central,3.00252,default,9,91.83985751358607,166.0766302561221,528.837601301636,0.21000000000000002,0.48569693338278774,0.9999999999999492,0.21000000000000002,0.53,1.0,0.0,0.04430306661721228,5.084821452783217e-14,binding,interior,binding,2025,1.544592128061724,1.8890782934881876,2.2788971118848234,6608.0114544472,9.2,ok,2026-08-07T14:51:38
17,relaxed_ramp_20pp,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.00252,default,9,60.67483237814965,112.82863088472756,384.85951380126835,0.23353705902261082,0.38694205724814223,0.844135912315342,0.45,1.0,1.0,0.2164629409773892,0.6130579427518578,0.15586408768465798,interior,interior,interior,2125,1.5314989430980024,1.923482568662506,2.5838068757027535,6658.655916929774,10.3,ok,2026-08-07T14:51:48
18,relaxed_ramp_20pp,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.00252,default,9,48.30552691260531,90.94611079404193,323.1171866026355,0.2038275944877329,0.34062334688604495,0.764190503577245,0.45,1.0,1.0,0.2461724055122671,0.6593766531139551,0.23580949642275495,interior,interior,interior,2135,1.5392605641931407,1.9561714925011406,2.7410631883219203,6681.132675497491,10.3,ok,2026-08-07T14:51:58
19,relaxed_ramp_20pp,hs_low,Howard-Sterner Low,ecs_central,3.00252,default,9,48.30552691260531,90.94611079404193,323.1171866026355,0.2038275944877329,0.34062334688604495,0.764190503577245,0.45,1.0,1.0,0.2461724055122671,0.6593766531139551,0.23580949642275495,interior,interior,interior,2135,1.5392605641931407,1.9561714925011406,2.7410631883219203,6681.132675497491,10.3,ok,2026-08-07T14:52:09
20,relaxed_ramp_20pp,hs_central,Howard-Sterner Central,ecs_central,3.00252,default,9,85.60362424459356,155.9254539885772,501.3740968593028,0.2864130812694681,0.46757519808156295,0.9765218478033325,0.45,1.0,1.0,0.16358691873053194,0.532424801918437,0.02347815219666749,interior,interior,interior,2025,1.5177590478333634,1.8658027456194326,2.310699405229394,6617.021421916119,9.8,ok,2026-08-07T14:52:19
21,relaxed_ramp_20pp,hs_high,Howard-Sterner High,ecs_central,3.00252,default,9,153.63193690152283,267.4507695640005,805.0404697319624,0.4065162464851127,0.643402524291106,0.9999999999996864,0.45,1.0,1.0,0.04348375351488731,0.356597475708894,3.136380044566067e-13,interior,interior,binding,2025,1.5014107906207386,1.7494541692574261,1.8721863187292849,6516.290067299518,9.5,ok,2026-08-07T14:52:28
22,relaxed_ramp_20pp,weitzman,Weitzman (2012),ecs_central,3.00252,default,9,53.601823429936864,105.66975119649537,374.75442782026636,0.21694690512779588,0.37336158057342156,0.8402357772329384,0.45,1.0,1.0,0.23305309487220413,0.6266384194265784,0.1597642227670616,interior,interior,interior,2135,1.536085200222143,1.9377660289485459,2.5998027260699637,6682.222731324835,10.4,ok,2026-08-07T14:52:38
23,relaxed_ramp_20pp,dietz_stern,Dietz-Stern (2015),ecs_central,3.00252,default,9,45.080855347148834,85.00962760773639,305.03673683622975,0.1956135007634114,0.32728793326810884,0.7393790424216912,0.45,1.0,1.0,0.2543864992365886,0.6727120667318911,0.26062095757830883,interior,interior,interior,2140,1.5413932804962012,1.9653634343130846,2.7876250457551244,6686.789814024478,10.3,ok,2026-08-07T14:52:49
24,relaxed_ramp_20pp,kahn,Kahn et al. (2021),ecs_central,3.00252,default,9,90.66579993501038,164.50512265672032,524.2416299009124,0.2964216469024544,0.48262325252342403,0.9999999999999983,0.45,1.0,1.0,0.15357835309754558,0.517376747476576,1.6653345369377348e-15,interior,interior,binding,2025,1.5163971068386735,1.8559847785050425,2.2599840058113547,6609.032726442012,9.7,ok,2026-08-07T14:52:58
25,relaxed_ramp_30pp,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.00252,default,9,60.67751727259361,112.82268284309663,384.87233116403036,0.23353588383169088,0.38694093354464076,0.8441304645885443,0.65,1.0,1.0,0.41646411616830914,0.6130590664553592,0.15586953541145565,interior,interior,interior,2125,1.531499221200842,1.9234835287671581,2.5838127234704222,6658.655916929698,10.3,ok,2026-08-07T14:53:09
