PERIOD,EIND,ECO2,CO2PPM,TATM,Y,DAMFRAC,CPC,CPRICE,MIUopt,RSHORT,ECO2E,L,AL,YGROSS,K,Sopt,I,YNET,CCATOT,CACC,RES0,RES1,RES2,RES3,DAMAGES,ABATECOST,MCABATE,C,PERIODU,TOTPERIODU,MAT,FORC,TBOX1,TBOX2,F_GHGABATE,IRFT,ALPHA,RFACTLONG,RLONG,SCC,ABATERAT,ATFRAC2020,ATFRAC1765,FORC_CO2,RR,YEAR,ramp_case,damage_key,damage_name,MIU_BOUND,MIU_SLACK
29,-19.19239271031463,-18.883617606828487,541.3365754903841,2.575164397639524,2271.026423133019,0.016442009196979468,154.02006092357985,537.3572741903039,1.1,0.02920535427482678,-20.433617606828488,10780.12005685815,173.21280211709723,2362.6689543811326,6063.773313192356,0.2688967723985188,610.6716752122215,2323.8219297037804,1431.7799024914852,866.7329966969671,323.52879867937133,224.6549459998976,27.39110823391574,-10.527947118666571,38.847024677352444,52.79550657076157,537.3572741903039,1660.3547479207973,4.728167838205177,3249.4867458255603,1153.0469057945181,4.109021381438351,0.7426125581979294,1.8325518394415947,0.025778230819018477,59.59348665341099,1.8487871116037182,6518.359260871112,0.03595094701298342,948.5419809341765,0.02324742065216791,1.3006545466389225,1.9609641255008812,3.8182431506193324,0.06375265675920054,2160,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
30,-20.325559263511586,-20.047661670374058,530.2453207333255,2.526949532900323,2469.2458145780565,0.015836940569022073,167.0692972770665,534.6771936043162,1.1,0.028642491137662977,-21.59766167037406,10786.616096298938,183.08039710603876,2565.5094541153667,6633.955879768063,0.2701770068549849,667.1334433718984,2524.8796333612772,1404.4446670532877,863.0221338913045,317.5879651068082,216.98280920664587,17.95875372495705,-11.106994876427926,40.62982075408932,55.6338187832207,534.6771936043162,1802.112371206158,4.832999048750435,3113.17762130569,1129.4225331619832,3.9732627878324407,0.7540319381533998,1.7729175947469233,0.0073925567351748964,59.32216534846463,1.8071604178317748,5648.614204172893,0.03569893129314478,1026.0932056566044,0.022530692754349116,1.2740058929531248,1.920786621023781,3.700870231097266,0.059717548110899375,2165,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
31,-21.510956980964284,-21.260849147140508,518.9552574152165,2.47683586191445,2682.910671438359,0.01521978010542202,181.1137636295087,532.0104799760164,1.1,0.028073176522466575,-22.81084914714051,10792.173314159341,193.4166117904518,2783.8652444701515,7252.951824303736,0.27145873790071334,728.2995447690123,2741.495427606189,1375.4552354373338,858.0805371429228,311.28766926900545,208.9567820052937,8.739709614459489,-11.609462594347658,42.36981686396262,58.58475616783034,532.0104799760164,1954.6111266693465,4.937467413994714,2987.503210853675,1105.374698294411,3.835406910891813,0.7642755820859218,1.7125602798285282,-0.008437508651014426,59.019551570589215,1.7618572096510188,4908.872877140783,0.035444739467455515,1106.4012767278025,0.02183626789796246,1.2468795673889645,1.8798889426775698,3.5788444195428273,0.05606543900755078,2170,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
32,-22.750103837564478,-22.52500678712308,507.4426807376221,2.4244151956207443,2913.0790663502953,0.0145870357258846,196.2211756283322,529.3570666374251,1.1,0.027501566924541317,-24.07500678712308,10796.927005811509,204.24012188242278,3018.764419549066,7924.293246578176,0.27273319329848056,794.4933560966724,2974.7295951130745,1344.7421091936426,851.8891992225076,304.61280802437693,200.56162501859072,-0.26738565757064414,-12.054137414262037,44.03482443599152,61.65052876277916,529.3570666374251,2118.585710253623,5.041577543650835,2871.739350043339,1080.852909971135,3.6945816318267393,0.7733479688597951,1.651067226760949,-0.02206719494852343,58.68358407498805,1.7129057848646365,4278.217813843841,0.03518850809510344,1189.352781389108,0.021163355802772343,1.2192186150772206,1.8381852210393452,3.4516488267752625,0.0527567948060842,2175,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
33,-24.044481458309313,-23.841894112912055,495.69141519711167,2.3693215976278603,3160.8643021615962,0.013936191610550042,212.46480184449402,526.7168872530701,1.1,0.026931618973525567,-25.391894112912055,10800.99307261681,215.57005966807677,3271.2867676199144,8651.68269965531,0.27398627921865093,866.0334492643133,3225.6974884133065,1312.233390741349,844.4106763715013,297.5477568326115,191.78186748489955,-9.058475249371778,-12.448434698291818,45.58927920660801,64.83318625171022,526.7168872530701,2294.830852897283,5.145343095953829,2765.221078085754,1055.8227143698477,3.5500022711551225,0.7812481537451677,1.588073443882693,-0.03380235485067869,58.31202730517856,1.6603591060133938,3739.2252193850027,0.03493048031005413,1274.1000662217002,0.020511220999703542,1.1909841715793275,1.7956168611732104,3.318804626005801,0.049756730118436704,2180,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
34,-25.395454804363478,-25.213126193505946,483.6908807293187,2.3112173008044343,3427.4263402305974,0.013265540291852673,229.92745685390335,524.0898758183299,1.1,0.026364618519288847,-26.763126193505947,10804.470774021329,227.4260202577019,3542.5546474290704,9438.899363641032,0.2751866149351269,943.1818525075487,3495.56074601751,1277.854980332969,835.5934043795203,290.07641254984003,182.60192666986643,-17.62353244851332,-12.793230817744318,46.99390141156027,68.13440578691285,524.0898758183299,2484.2444877230487,5.248805054377019,2667.348707273915,1030.2615759534488,3.4009455437832123,0.7879702991190641,1.52324700168537,-0.04390632752643436,57.90249474106135,1.604301565860442,3277.416097471558,0.034670908740637,1361.0781547686613,0.01987917434932497,1.1621508164647343,1.7521455373357973,3.1798518713096464,0.04703442655555047,2185,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
35,-26.804034807435443,-26.639939057663664,471.4353047151628,2.2497845320215326,3713.9395662161382,0.012574103065241538,248.705014622149,521.4759666577814,1.1,0.02580447208510416,-28.189939057663665,10807.44509668376,239.82806742957695,3833.6997691920933,10289.484947774137,0.27627637906416525,1026.0737754173313,3785.4944331730794,1241.5310928804688,825.3738938371722,282.18230573297177,173.0063200989062,-25.945833665965203,-13.085593122616196,48.20533601901408,71.55486695694113,521.4759666577814,2687.865790798807,5.3520388907295136,2577.5856414534155,1004.1571990432966,3.246735669190796,0.7935040996985966,1.4562804323229361,-0.05260584800026,57.45245655877595,1.5448524367165433,2880.6990095616898,0.03441013119194486,1448.2173332004447,0.019266567395937236,1.13270468001986,1.7077503385090078,3.0343415171910557,0.04456262909374704,2190,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
36,-28.27051826871727,-28.12283209392267,458.9237165583311,2.1847220247186585,4021.537497420396,0.011861615553490523,268.9165221633878,518.8750944235597,1.1,0.025256042923369748,-29.672832093922672,10809.9887918624,252.79673904668874,4145.806783218243,11206.20684389781,0.2771459690733914,1114.552906887557,4096.630816996655,1203.1852623733475,813.6777461041024,273.84881889592805,162.98001263832734,-34.001015718828924,-13.320299546181303,49.17596622158803,75.09331957625889,518.8750944235597,2906.9845905328393,5.455189086291363,2495.468419050475,977.5075162692451,3.0867400124256097,0.7978351692525202,1.3868868554661382,-0.060096135128223864,56.959244408931156,1.4821678794884845,2538.95546382238,0.03414858581284271,1537.033495184247,0.018672788609935202,1.1026434302195574,1.6624277487572197,2.8818361475538334,0.04231720992102711,2195,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,0.0
37,-29.793756162836416,-29.660838605521274,446.16067149528993,2.1157462003737253,4351.194227270197,0.011128569160282265,290.72511385648187,516.2871940937225,1.0999999999999992,0.024729058807145134,-31.21083860552126,10812.164126008958,266.3530520298679,4479.792606733203,12189.917613691003,0.2775850760996772,1207.8265807012738,4429.938924885451,1162.742340904134,800.4201106191664,265.0596208954137,152.50901894801322,-41.75579472367276,-13.490614834786637,49.853681847751616,78.74469761525403,516.2871940937225,3143.367646568923,5.558535487082991,2420.626959727618,950.3222302849675,2.9203751753146214,0.8009454605786616,1.3148007397950638,-0.06654527234540063,56.42006502632073,1.4164428655048935,2243.6577713053807,0.03388693228490667,1626.2223876787236,0.018097261005205915,1.0719780118055806,1.6161942691921216,2.721920447660022,0.04027679028584877,2200,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.1,8.881784197001252e-16
38,-15.684834146431594,-15.565208344847967,442.0590306858163,2.081625834600395,4710.947036678428,0.010774450566273241,313.6558367185065,476.8639181718447,1.05,0.02424255352614576,-16.34020834484797,10814.024383842554,280.5185068742681,4836.15195320422,13237.157355214771,0.28,1319.06517026996,4784.045073053436,1141.518986193406,787.9332508326172,260.4468282690833,146.37403615173778,-43.495012070962595,-9.740116989069778,52.106880150784654,73.09803637500738,476.8639181718447,3391.8818664084683,5.659540784730134,2351.5443080518435,941.5857353607887,2.8698591658230543,0.803647434137365,1.2779784004630297,-0.06469672948938995,56.04070336693037,1.3718678866015184,1987.5340511788825,0.03362627339953475,1711.258877935278,0.01551663302641309,1.0621231118984593,1.6013362846271917,2.669555895312444,0.038422412277309165,2205,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
39,-16.52049864544762,-16.412835424022354,436.67495652748846,2.0519044403669406,5091.471474400867,0.010470577414813054,338.94137392849433,474.4855494577036,1.05,0.023394367671262264,-17.187835424022357,10815.615158101065,295.3150916987762,5222.765432433309,14411.734898030572,0.28,1425.612012832243,5168.080062653607,1119.1398814428983,777.0222240393479,255.5828817647769,140.00044698734004,-45.26014599425243,-8.205525354314087,54.68536977970253,76.60858825273944,474.4855494577036,3665.8594615686243,5.763088175191821,2289.8823887745075,930.1176574035504,2.801971350139139,0.8058316569258559,1.2460727834410845,-0.06310513409036476,55.70960425087591,1.3340416768675805,1768.1306556012153,0.03335701272247495,1797.7840210762768,0.015046453395234678,1.0491869445479962,1.5818327506863104,2.6000764842295037,0.036737253655250456,2210,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
40,-17.376108082871852,-17.279211183589116,430.5907143838792,2.0198416549201292,5494.990311280702,0.010147563276108551,365.75778879587966,472.11904290701176,1.05,0.02324366066277077,-18.054211183589118,10816.975455661643,310.76528582001987,5632.318955216349,15638.04540409929,0.28,1538.5972871585968,5575.164642227066,1095.579462594263,766.4212409566005,250.46222715383868,133.38661210509994,-47.04074805164849,-7.649869569627592,57.15431298928351,80.17433094636348,472.11904290701176,3956.3930241221055,5.865175056331221,2233.6143630234897,917.1582216376626,2.723788350704871,0.8074390558944481,1.212402599025681,-0.06173477045180407,55.374644070917746,1.29676005204109,1574.1328644334142,0.03309769600299536,1878.9893377199357,0.014590440820573071,1.0345685027777,1.559792893941603,2.5205231211566748,0.035206379856489334,2215,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
41,-18.255217785778683,-18.16801057642422,424.0740634254707,1.9844395799437176,5923.823727458602,0.00979669773819647,394.2594214621334,469.76433935698213,1.05,0.022522920449623608,-18.94301057642422,10818.138645749115,326.8920628442802,6067.071483207255,16927.095866459575,0.28,1658.6706436884087,6007.634217730242,1070.8071547453071,755.5293996490547,245.07822015953548,126.52839917603198,-48.82115578137622,-7.507708457938703,59.437265477012815,83.8104902716403,469.76433935698213,4265.153083770193,5.966159544240685,2182.6114229066357,903.2777550962525,2.6385044662703376,0.8084334926968713,1.1760060872468463,-0.06055488735900331,55.020249443797624,1.2583571715025281,1406.479756675503,0.032833326614161065,1952.7470123290777,0.014148039193528823,1.0189111242046105,1.5361866583269599,2.434059353629341,0.033816528158204934,2220,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
42,-19.160565840102883,-19.082079351683866,417.24550406198216,1.9458140984918264,6380.128749548468,0.00942082460692617,424.58971379582806,467.4213799399025,1.049999999999999,0.0218552725760875,-19.85707935168385,10819.133272465144,343.7188932719032,6529.167132924237,18288.63405662776,0.28,1786.4360498735712,6467.656994535651,1044.7885027795533,744.0555791275312,239.42337298771156,119.42077679631069,-50.583651443447536,-7.527574688552705,61.51013838858625,87.52824498718424,467.4213799399025,4593.692699674896,6.0662736945828835,2136.704378255798,888.732923652022,2.5474807458709585,0.8087888310953413,1.1370252673964851,-0.059539008016101694,54.64137172364155,1.2184432671417773,1260.884669531891,0.03256556919859829,2019.1817723098018,0.013718883806753705,1.002504331859073,1.5114505504286089,2.34201975388706,0.03255591970580151,2225,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,1.1102230246251565e-15
43,-20.094276939171795,-20.02363909959468,410.15914725077494,1.904145696715454,6865.993720413508,0.009023469013845209,456.8875141167042,465.09010608166784,1.05,0.021222201379086845,-20.79863909959468,10819.983750825346,361.2697466098306,7020.680362537549,19731.435773465986,0.28,1922.4782417157824,6957.32947083008,1017.4860224146846,731.847038770534,233.4895395005921,112.05843951307844,-52.30911236934142,-7.599883000178586,63.35089170746912,91.33575041657215,465.09010608166784,4943.5154786977255,6.165672466785809,2095.71210445713,873.6389836441506,2.4512345036945042,0.8084829964634735,1.0956627002519803,-0.05866433590186356,54.23586056346001,1.176981312462587,1133.9448674719233,0.03229548901241945,2074.4832051811036,0.013302626558631838,0.9854781366546329,1.4857805844288274,2.2448988395963676,0.03141409573057268,2230,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
44,-21.05803008736405,-20.994456031744644,402.8402654206612,1.8595154739722066,7383.487771359878,0.008607238283314889,491.29037949867325,462.770459500308,1.05,0.020612397522880785,-21.769456031744646,10820.710962839988,379.5690929886951,7543.656792337146,21263.606718452844,0.28,2067.376575980766,7478.726740797953,988.859821116969,718.8100557709607,227.2680502053683,104.43613715367728,-53.97693100876674,-7.677491004270552,64.93005153919268,95.23896943807551,462.770459500308,5316.111195379111,6.2644605138423906,2059.4564521202365,858.0497653460083,2.3499022702203045,0.8074953042806996,1.052020169691507,-0.05791124321150453,53.802273008742496,1.134029423103861,1022.8988423630641,0.032023789210337154,2118.0082358585933,0.01289891341155896,0.9678932599630347,1.4592683084115787,2.142813513431809,0.03038177480930804,2235,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
45,-22.053181520750275,-21.995964870692813,395.3023261276079,1.8119229400739738,7934.691572591981,0.008174070959097834,527.9366280305103,460.4623822045382,1.05,0.020018499973692355,-22.770964870692815,10821.332767871645,398.64190428159543,8100.145010866757,22892.830011083053,0.28,2221.713640325755,8033.93385076895,958.868050090663,704.8740954388583,220.74981048825143,96.54891724800885,-55.564750162736686,-7.74002292171878,66.21116009780717,99.24227817696918,460.4623822045382,5712.977932266225,6.362708595986856,2027.7706249853065,841.9939546518048,2.2434524892159704,0.805805289311862,1.0061176507621117,-0.05726283040510541,53.339266858746406,1.0896720958926196,925.4715374808911,0.03175094172768614,2148.8997184165346,0.012507389514643764,0.9497820599117237,1.4319625079112326,2.0357153196210755,0.02945072846777657,2240,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
46,-23.08085163952461,-23.029356654472892,387.55459762442837,1.7613211802287947,8521.718664126562,0.007725633445076818,566.9667618243944,458.16581649230585,1.0499999999999998,0.019435564649835486,-23.80435665447289,10821.86443950925,418.5136547222261,8692.220466499954,24626.555394873212,0.28,2386.0812259554373,8625.06755735198,927.467236544886,689.9759436048536,213.925372819702,88.39235134433376,-57.048174050603365,-7.778257173399969,67.15290914797326,103.34889322541805,458.16581649230585,6135.637438171125,6.460464277245687,2000.5040075172935,825.4912929400324,2.131782246004023,0.8033922163292737,0.957928963899521,-0.05670454697879573,52.845445644145144,1.0440038036955444,839.7679088100945,0.03147726668151168,2165.5547738965533,0.012127705372447995,0.9311668050776017,1.4038967567007354,1.9234867929828192,0.028613672814881048,2245,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,2.220446049250313e-16
47,-24.14198583110357,-24.095640344557026,379.6055278945506,1.7076408985464333,9146.7310501963,0.007263585318707078,608.5245068196738,455.8807049493489,1.05,0.018860218806172682,-24.870640344557028,10822.31903947442,439.2103210205148,9322.003387470173,26472.140824895876,0.28,2561.084694054964,9254.292220524007,894.6125319572707,674.0527575418779,206.78499070589308,79.96277588891152,-58.400500925017944,-7.787491254393899,67.71116694616599,107.56117032770648,455.8807049493489,6585.646356141337,6.557759096473055,1977.5249343381242,808.5597744153928,2.0147615625857487,0.8002349019532,0.9074059965932333,-0.056223864948743124,52.319326735741576,0.9971264295973872,764.1961221384445,0.031202983032047785,2163.851262068841,0.01175952039449089,0.9120677931988099,1.3751016571690353,1.8059854275344918,0.027864174224233918,2250,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
48,-25.23739687197937,-25.19568593408748,371.4642763852933,1.6508041228857364,9811.950796367317,0.006789730539205174,652.7575856870186,453.60699044775936,1.05,0.01829013997498461,-25.97068593408748,10822.707737588475,460.7583819743354,9991.672372295458,28436.95790596759,0.28,2747.3462229828488,9923.83160925155,860.2579015590057,657.038992858331,199.31865986955782,71.2575679537783,-59.59249334788281,-7.764825774778551,67.84076304390707,111.88081288423393,453.60699044775936,7064.604573384468,6.65461342836309,1958.7222440824253,791.2189087006748,1.8922547468282611,0.7963116852351817,0.8544924376505547,-0.05580999772086783,51.75934003612738,0.9491500823264386,697.4102005795258,0.030928241690408143,2145.4193774674072,0.011402504477056246,0.8925070314282715,1.345610388946726,1.683064744549129,0.027196567363497594,2255,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
49,-26.367794374033615,-26.33025452993091,363.14145989814045,1.5907319598735354,10519.668620824983,0.006306102964290905,699.8182901593909,451.3446161445563,1.0499999999999998,0.028671040074685544,-27.10525452993091,10823.040085546912,483.18481757624824,10703.474852702828,30528.47038880905,0.28,2945.5072138309956,10635.977638205984,824.3562728026233,638.8649632195842,191.51615052349328,62.275475515909505,-60.59220070785496,-7.708115748508746,67.49721449684246,116.30901738100184,451.3446161445563,7574.161406993988,6.751039788516733,1840.4575986921752,773.4913095830391,1.7641322273257536,0.7916004792427986,0.7991314806307368,-0.05545365803766717,51.16383291404537,0.9001947506332207,604.268454536846,0.030881216656747257,2228.503499364992,0.01105633851913869,0.8725100284638023,1.3154614108555087,1.5545858853634207,0.025188707419722463,2260,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,2.220446049250313e-16
50,-27.533805073258804,-27.50001921356637,354.64957114749006,1.5273495420780856,11272.250127434674,0.005815018508035341,749.8638961033214,449.09352548026465,1.05,0.02856582650270273,-28.275019213566374,10823.32425114475,506.5171076145676,11459.735274664767,32754.29254904284,0.28,3156.230035681709,11393.096701945406,786.859655385707,619.4560688415532,183.36703347003478,53.01702558955909,-61.36485845047795,-7.615614064962164,66.63857271936108,120.84657451073127,449.09352548026465,8116.0200917529655,6.847045079347612,1728.8667731098597,755.4035865441538,1.6302788606780023,0.7860788779877407,0.7412706640903449,-0.055146849570431436,50.53107615074474,0.8503924175833805,523.8416415330801,0.030833963796460636,2310.6086627930304,0.010720714422102111,0.8521068002077401,1.2846999771159078,1.420425710248434,0.02332908315216092,2265,standard_dice2023,dietz_stern,Dietz-Stern (2015),1.05,0.0
